name,status,effort,type_line,mana_cost,cmc,rarity,first_set,first_released,keywords,oracle_text,effort_reason
Hide on the Ceiling,missing,Easy,Instant,{X}{U},1.0,rare,om1,2025-09-23,,Exile X target artifacts and/or creatures. Return the exiled cards to the battlefield under their owners' control at the beginning of the next end step.,
Hurl into History,missing,Easy,Instant,{3}{U}{U},5.0,uncommon,lci,2023-11-17,Discover,"Counter target artifact or creature spell. Discover X, where X is that spell's mana value. (Exile cards from the top of your library until you exile a nonland card with that mana value or less. Cast it without paying its mana cost or put it into your hand. Put the rest on the bottom in a random order.)",
Hypnotic Pattern,missing,Easy,Instant,{U},1.0,common,hbg,2022-07-07,,"Target creature perpetually gets -2/-0.
Target creature gets -2/-0 until end of turn.",
Ice Out,missing,Easy,Instant,{1}{U}{U},3.0,rare,pw23,2023-09-08,Bargain,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
This spell costs {1} less to cast if it's bargained.
Counter target spell.",
In the Presence of Ages,missing,Easy,Instant,{2}{G},3.0,common,lci,2023-11-17,,Reveal the top four cards of your library. You may put a creature card and/or a land card from among them into your hand. Put the rest into your graveyard.,
Interjection,missing,Easy,Instant,{W},1.0,common,sos,2026-04-24,,Target creature gets +2/+2 and gains first strike until end of turn.,
Invert Polarity,missing,Easy,Instant,{U}{U}{R},3.0,rare,mh3,2024-06-14,,"Choose target spell, then flip a coin. If you win the flip, gain control of that spell and you may choose new targets for it. If you lose the flip, counter that spell.",
Irrefutable Evidence,missing,Easy,Instant,{1}{U},2.0,common,unk,2024-02-24,,"Treat Irrefutable Evidence's mana value as 10 while it's in your graveyard.
Draw a card.
When you collect Irrefutable Evidence as evidence, draw a card.",
Jennika's Technique,missing,Easy,Instant,{2}{R},3.0,uncommon,tmt,2026-03-06,Sneak,"Sneak {R} (You may cast this spell for {R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Jennika's Technique deals 2 damage to each creature.",
Judgment of Alexander,missing,Easy,Instant,{2}{W},3.0,rare,fic,2025-12-05,,"Prevent all damage that would be dealt to you this turn by sources your opponents control. Whenever damage from a creature is prevented this way, each commander creature you control deals damage equal to its power to that creature.",
Just a Li'l Guy,missing,Easy,Instant,{G},1.0,rare,unk,2025-02-21,,"Target creature gains hexproof and indestructible until end of turn. That creature is 1/1 until end of turn and can't be anything other than 1/1 until end of turn. (No matter what happens to it, it'll still be a 1/1.)",
Katara's Reversal,missing,Easy,Instant,{2}{U}{U},4.0,rare,tle,2025-11-21,,"Counter up to four target spells and/or abilities.
Untap up to four target artifacts and/or creatures.",
Kellan's Lightblades,missing,Easy,Instant,{1}{W},2.0,common,woe,2023-09-08,Bargain,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Kellan's Lightblades deals 3 damage to target attacking or blocking creature. If this spell was bargained, destroy that creature instead.",
Kill! Destroy!,missing,Easy,Instant,{1}{B}{B},3.0,uncommon,unh,2004-11-19,,"Destroy target nonblack creature.
Gotcha — If an opponent says ""kill"" or ""destroy,"" you may say ""Gotcha!"" When you do, return Kill! Destroy! from your graveyard to your hand.",
Kitsune's Technique,missing,Easy,Instant,{4}{U}{U},6.0,rare,tmt,2026-03-06,"Mill, Sneak","Sneak {1}{U} (You may cast this spell for {1}{U} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Target opponent mills half their library, rounded up.",
Knockout Blow,missing,Easy,Instant,{2}{W},3.0,uncommon,snc,2022-04-29,,"This spell costs {2} less to cast if it targets a red creature.
Knockout Blow deals 4 damage to target attacking or blocking creature and you gain 2 life.",
Legolas's Quick Reflexes,missing,Easy,Instant,{G},1.0,rare,ltc,2023-11-03,Split second,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Untap target creature. Until end of turn, it gains hexproof, reach, and ""Whenever this creature becomes tapped, it deals damage equal to its power to up to one target creature.""",
Lim-Dûl's Vault,missing,Easy,Instant,{U}{B},2.0,uncommon,all,1996-06-10,,"Look at the top five cards of your library. As many times as you choose, you may pay 1 life, put those cards on the bottom of your library in any order, then look at the top five cards of your library. Then shuffle and put the last cards you looked at this way on top in any order.",
Louisoix's Sacrifice,missing,Easy,Instant,{U},1.0,rare,fin,2025-06-13,,"As an additional cost to cast this spell, sacrifice a legendary creature or pay {2}.
Counter target activated ability, triggered ability, or noncreature spell.",
Lumaret's Favor,missing,Easy,Instant,{1}{G},2.0,uncommon,sos,2026-04-24,Infusion,"Infusion — When you cast this spell, copy it if you gained life this turn. You may choose new targets for the copy.
Target creature gets +2/+4 until end of turn.",
Luminous Rebuke,missing,Easy,Instant,{4}{W},5.0,common,fdn,2024-11-15,,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",
Mana Sculpt,missing,Easy,Instant,{1}{U}{U},3.0,rare,psos,2026-04-24,,"Counter target spell. If you control a Wizard, add an amount of {C} equal to the amount of mana spent to cast that spell at the beginning of your next main phase.",
Manhole Missile,missing,Easy,Instant,{1}{R},2.0,common,tmt,2026-03-06,,"Manhole Missile deals 3 damage to target creature. You may put a card from your hand on the bottom of your library. If you do, draw a card.",
Mapping the Maze,missing,Easy,Instant,{1}{U},2.0,uncommon,ymkm,2024-03-05,,"Choose an instant or sorcery card in your hand or graveyard. That card perpetually incorporates {U} and gains ""When you cast this spell, draw a card."" Then return a multicolored instant or sorcery card from your graveyard to your hand.",
Mark Ritual,missing,Easy,Instant,{1}{B},2.0,common,unk,2024-10-25,,"Add {B}{B}{B}.
If this card is signed by someone who has ever designed a Magic card, treat all black mana symbols on this card as red mana symbols. (To be respectful of the color pie.)",
Masterful Flourish,missing,Easy,Instant,{B},1.0,common,sos,2026-04-24,,"Target creature you control gets +1/+0 and gains indestructible until end of turn. (Damage and effects that say ""destroy"" don't destroy it.)",
Melt Through,missing,Easy,Instant,{R},1.0,uncommon,ybro,2022-12-13,,"Melt Through deals 2 damage to any target. If it's a creature, it perpetually gains ""As long as this creature is on the battlefield, damage isn't removed from it during cleanup steps.""",
Mind Transfer Protocol,missing,Easy,Instant,{2}{U},3.0,common,tmt,2026-03-06,,"Until end of turn, target artifact or creature becomes an artifact creature with base power and toughness 4/5.
Draw a card.",
Misthios's Fury,missing,Easy,Instant,{1}{R},2.0,common,acr,2024-07-05,,"Misthios's Fury deals 3 damage to target creature. If you control an Equipment, Misthios's Fury also deals 2 damage to that creature's controller.",
Monstrous Rage,missing,Easy,Instant,{R},1.0,uncommon,woe,2023-09-08,Role token,"Target creature gets +2/+0 until end of turn. Create a Monster Role token attached to it. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has trample.)",
Muse's Encouragement,missing,Easy,Instant,{4}{U},5.0,common,sos,2026-04-24,Surveil,"Create a 3/3 blue and red Elemental creature token with flying.
Surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",
Naturalize 2,missing,Easy,Instant,{1}{G},2.0,rare,mb2,2024-08-02,,"Destroy target artifact, enchantment, emblem, or gameplay tracker. (Trackers include play aids such as dungeons, city's blessing, and monarch. When you destroy it, the associated object or designation is removed from the game.)",
New Way Forward,missing,Easy,Instant,{2}{U}{R}{W},5.0,rare,tdm,2025-04-11,,"The next time a source of your choice would deal damage to you this turn, prevent that damage. When damage is prevented this way, New Way Forward deals that much damage to that source's controller and you draw that many cards.",
Not Dead After All,missing,Easy,Instant,{B},1.0,common,woe,2023-09-08,Role token,"Until end of turn, target creature you control gains ""When this creature dies, return it to the battlefield tapped under its owner's control, then create a Wicked Role token attached to it."" (Enchanted creature gets +1/+1. When this token is put into a graveyard, each opponent loses 1 life.)",
Now THIS Is Aether Racing,missing,Easy,Instant,{1}{R},2.0,common,unk,2025-02-21,,"Team Cloudspire — This spell deals 3 damage to any target.
Team Speed Demons — Exile the top two cards of your library. You may play those cards until your next end step.",
Nurgle's Conscription,missing,Easy,Instant,{4}{B},5.0,rare,40k,2022-10-07,,"Put target creature card from an opponent's graveyard onto the battlefield tapped under your control, then exile that player's graveyard.",
Olórin's Searing Light,missing,Easy,Instant,{2}{R}{W},4.0,rare,ltc,2023-11-03,Spell mastery,"Each opponent exiles a creature with the greatest power among creatures that player controls.
Spell mastery — If there are two or more instant and/or sorcery cards in your graveyard, Olórin's Searing Light deals damage to each opponent equal to the power of the creature they exiled.",
One with Death,missing,Easy,Instant,{B},1.0,rare,cmb1,2019-11-07,,You lose the game.,
Orcish Catapult,missing,Easy,Instant,{X}{R}{R},2.0,common,past,1997-04-01,,Randomly distribute X -0/-1 counters among a random number of random target creatures.,
Out of Air,missing,Easy,Instant,{2}{U}{U},4.0,common,lci,2023-11-17,,"This spell costs {2} less to cast if it targets a creature spell.
Counter target spell.",
Out of the Way,missing,Easy,Instant,{3}{U},4.0,uncommon,snc,2022-04-29,,"This spell costs {2} less to cast if it targets a green permanent.
Return target nonland permanent an opponent controls to its owner's hand.
Draw a card.",
Outrageous Robbery,missing,Easy,Instant,{X}{B}{B},2.0,rare,mkm,2024-02-09,,"Target opponent exiles the top X cards of their library face down. You may look at and play those cards for as long as they remain exiled. If you cast a spell this way, you may spend mana as though it were mana of any type to cast it.",
Pact of Negation,missing,Easy,Instant,{0},0.0,rare,fut,2007-05-04,,"Counter target spell.
At the beginning of your next upkeep, pay {3}{U}{U}. If you don't, you lose the game.",
Pain 101,missing,Easy,Instant,{1}{B},2.0,common,tmt,2026-03-06,,"Until end of turn, target creature gains deathtouch and ""When this creature dies, return it to the battlefield tapped under its owner's control.""",
Painful Bond,missing,Easy,Instant,{1}{B},2.0,uncommon,yneo,2022-03-17,,"Draw two cards, then cards in your hand with mana value 3 or greater perpetually gain ""When you cast this spell, you lose 1 life.""",
Pair o' Dice Lost,missing,Easy,Instant,{3}{G}{G},5.0,uncommon,unf,2022-10-07,,"Roll two six-sided dice. Return any number of cards with total mana value X or less from your graveyard to your hand, where X is the total of those results. Exile Pair o' Dice Lost.",
Patriar's Humiliation,missing,Easy,Instant,{W},1.0,common,hbg,2022-07-07,,"Target creature perpetually loses all abilities, then Patriar's Humiliation deals damage to it equal to the number of creatures you control.",
Peel Out,missing,Easy,Instant,{1}{G},2.0,common,unk,2025-02-21,,"Prevent all combat damage that would be dealt this turn. Create a colorless artifact token named Banana with ""{T}, Sacrifice this token: Add {R} or {G}. You gain 2 life.""",
Planar Genesis,missing,Easy,Instant,{G}{U},2.0,uncommon,mh3,2024-06-14,,"Look at the top four cards of your library. You may put a land card from among them onto the battlefield tapped. If you don't, put a card from among them into your hand. Put the rest on the bottom of your library in a random order.",
Plunge into Winter,missing,Easy,Instant,{1}{W},2.0,common,woe,2023-09-08,Scry,"Tap up to one target creature. Scry 1, then draw a card.",
Point to the Scoreboard,missing,Easy,Instant,{U},1.0,common,unk,2023-02-17,Scry,"Return target tapped creature an opponent controls to its owner's hand. Scry 1. Score one point for your team.
Exile Point to the Scoreboard.",
Pool Resources,missing,Easy,Instant,{2}{U},3.0,uncommon,yblb,2024-08-20,"Seek, Gift","Gift a tapped Fish
Draw two cards. If the gift was promised, seek two nonland cards instead.",
Presumed Dead,missing,Easy,Instant,{1}{B},2.0,uncommon,mkm,2024-02-09,Suspect,"Until end of turn, target creature gets +2/+0 and gains ""When this creature dies, return it to the battlefield under its owner's control and suspect it."" (A suspected creature has menace and can't block.)",
Rabid Attack,missing,Easy,Instant,{1}{B},2.0,uncommon,sos,2026-04-24,,"Until end of turn, any number of target creatures you control each get +1/+0 and gain ""When this creature dies, draw a card.""",
Raphael's Technique,missing,Easy,Instant,{4}{R}{R},6.0,rare,tmt,2026-03-06,Sneak,"Sneak {2}{R} (You may cast this spell for {2}{R} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Each player may discard their hand and draw seven cards.",
Razor Rings,missing,Easy,Instant,{1}{W},2.0,common,tle,2025-11-21,,Razor Rings deals 4 damage to target attacking or blocking creature. You gain life equal to the excess damage dealt this way.,
Reenact the Crime,missing,Easy,Instant,{1}{U}{U}{U},4.0,rare,pmkm,2024-02-09,,Exile target nonland card in a graveyard that was put there from anywhere this turn. Copy it. You may cast the copy without paying its mana cost.,
Ride's End,missing,Easy,Instant,{4}{W},5.0,common,dft,2025-02-14,,"This spell costs {3} less to cast if it targets a tapped permanent.
Exile target creature or Vehicle.",
Road Rage,missing,Easy,Instant,{R},1.0,uncommon,dft,2025-02-14,,"Road Rage deals X damage to target creature or planeswalker, where X is 2 plus the number of Mounts and Vehicles you control.",
Rocky Rebuke,missing,Easy,Instant,{1}{G},2.0,common,tla,2025-11-21,,Target creature you control deals damage equal to its power to target creature an opponent controls.,
Roku's Mastery,missing,Easy,Instant,{X}{R}{R},2.0,uncommon,tle,2025-11-21,Scry,"Roku's Mastery deals X damage to target creature. If X is 4 or more, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",
Rowan's Grim Search,missing,Easy,Instant,{2}{B},3.0,common,woe,2023-09-08,Bargain,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
If this spell was bargained, look at the top four cards of your library, then put up to two of them back on top of your library in any order and the rest into your graveyard.
You draw two cards and you lose 2 life.",
Royal Treatment,missing,Easy,Instant,{G},1.0,uncommon,woe,2023-09-08,Role token,"Target creature you control gains hexproof until end of turn. Create a Royal Role token attached to that creature. (If you control another Role on it, put that one into the graveyard. Enchanted creature gets +1/+1 and has ward {1}.)",
Run Behind,missing,Easy,Instant,{3}{U},4.0,common,sos,2026-04-24,,"This spell costs {1} less to cast if it targets an attacking creature.
Target creature's owner puts it on their choice of the top or bottom of their library.",
Run Out of Town,missing,Easy,Instant,{3}{U},4.0,common,snc,2022-04-29,,The owner of target nonland permanent puts it on their choice of the top or bottom of their library.,
Run Over,missing,Easy,Instant,{1}{G},2.0,common,dft,2025-02-14,,"This spell costs {1} less to cast if it targets a Mount or Vehicle you control.
Target creature you control deals damage equal to its power to target creature an opponent controls.",
Sauté,missing,Easy,Instant,{1}{R}{R},3.0,common,unh,2004-11-19,,Sauté deals 3½ damage to any target.,
Scooch,missing,Easy,Instant,{1}{B},2.0,common,unf,2022-10-07,,"Add or subtract 1 from target creature's power, target player's life total, or target die roll's result.
Draw a card.",
Seek New Knowledge,missing,Easy,Instant,{1}{U},2.0,uncommon,hbg,2022-07-07,Seek,"Seek two nonland cards, then put a card from your hand on the bottom of your library.",
Seized from Slumber,missing,Easy,Instant,{4}{W},5.0,common,dsk,2024-09-27,,"This spell costs {3} less to cast if it targets a tapped creature.
Destroy target creature.",
Self-Destruct,missing,Easy,Instant,{1}{R},2.0,uncommon,fin,2025-06-13,,"Target creature you control deals X damage to any other target and X damage to itself, where X is its power.",
Sewer Plague,missing,Easy,Instant,{2}{B},3.0,common,hbg,2022-07-07,,"Target creature an opponent controls perpetually gets -2/-2 and gains ""At the beginning of each upkeep, this creature perpetually gets -1/-1.""",
Shadowmoor Draw Spell,missing,Easy,Instant,{3}{U},4.0,common,unk,2023-05-06,,"Untap Convoke (Each tapped creature that you untap while casting this spell pays for {1} or one mana of that creature's color. This counts as convoke.)
Draw two cards.",
Sheoldred's Terror,missing,Easy,Instant,{B},1.0,uncommon,unk,2023-02-17,,"Destroy target creature not originally printed in an Argentum expansion. (Mirrodin, Darksteel, Fifth Dawn, Scars of Mirrodin, Mirrodin Besieged, New Phyrexia, and Phyrexia: All Will Be One are Argentum expansions. Argentum is Karn's original name for that plane, now you know!)",
Showstopping Surprise,missing,Easy,Instant,{3}{R}{R},5.0,rare,mkc,2024-02-09,,Choose target creature you control. Turn it face up if it's face down. Then it deals damage equal to its power to each other creature.,
Silent Extraction,missing,Easy,Instant,{G}{U},2.0,uncommon,yotj,2024-05-07,"Seek, Threshold","Choose target spell. Counter that spell unless its controller pays {2}.
Threshold — If seven or more cards are in your graveyard, seek a creature card with the same mana value as the chosen spell.",
Slaughter Pact,missing,Easy,Instant,{0},0.0,rare,fut,2007-05-04,,"Destroy target nonblack creature.
At the beginning of your next upkeep, pay {2}{B}. If you don't, you lose the game.",
Sold Out,missing,Easy,Instant,{3}{B},4.0,common,tla,2025-11-21,,"Exile target creature. If it was dealt damage this turn, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",
Soul Servitude,missing,Easy,Instant,{2}{B},3.0,rare,yneo,2022-03-17,Conjure,"Target player sacrifices a nontoken creature. When they do, you may discard a card. If you do, conjure a duplicate of the sacrificed creature into your hand. It perpetually gains ""You may spend mana as though it were mana of any color to cast this spell.""",
Spellmorph Raise Dead,missing,Easy,Instant,{B},1.0,rare,cmb1,2019-11-07,,"Return target creature card from your graveyard to your hand.
Spellmorph {B} (You may cast this card face down as a 2/2 creature for {3}. Cast it any time for its spellmorph cost.)",
Stand United,missing,Easy,Instant,{1}{G/W},2.0,common,tle,2025-11-21,Scry,"Target creature gets +2/+2 until end of turn. If it's an Ally, scry 2. (Look at the top two cards of your library, then put any number of them on the bottom and the rest on top in any order.)",
Stand Up for Yourself,missing,Easy,Instant,{2}{W},3.0,uncommon,sos,2026-04-24,,Destroy target creature with power 3 or greater.,
Standard Procedure,missing,Easy,Instant,,0.0,mythic,unf,2022-10-07,,"{1}, Reveal Standard Procedure from your hand: Choose an instant or sorcery card with mana value 3 or less currently legal in the Standard format. Standard Procedure becomes that card until end of turn.",
Steer Clear,missing,Easy,Instant,{W},1.0,common,otj,2024-04-19,,Steer Clear deals 2 damage to target attacking or blocking creature. Steer Clear deals 4 damage to that creature instead if you controlled a Mount as you cast this spell.,
Stonesplitter Bolt,missing,Easy,Instant,{X}{R},1.0,uncommon,woe,2023-09-08,Bargain,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this spell.)
Stonesplitter Bolt deals X damage to target creature or planeswalker. If this spell was bargained, it deals twice X damage to that permanent instead.",
Stress Dream,missing,Easy,Instant,{3}{U}{R},5.0,uncommon,sos,2026-04-24,,Stress Dream deals 5 damage to up to one target creature. Look at the top two cards of your library. Put one of those cards into your hand and the other on the bottom of your library.,
Sudden Setback,missing,Easy,Instant,{2}{U}{U},4.0,uncommon,mkm,2024-02-09,,The owner of target spell or nonland permanent puts it on their choice of the top or bottom of their library.,
Super-Duper Lost,missing,Easy,Instant,{4}{U},5.0,common,unf,2022-10-07,,"Put target creature into its owner's library just beneath the top X cards of that library, where X is the number of doors you can see from your seat.",
Swift Demise,missing,Easy,Instant,{2}{B},3.0,rare,tmc,2026-03-06,,Swift Demise deals 1 damage to target creature. Then destroy each creature you don't control that was dealt damage this turn.,
Tail Swipe,missing,Easy,Instant,{G},1.0,uncommon,dmu,2022-09-09,Fight,"Choose target creature you control and target creature you don't control. If you cast this spell during your main phase, the creature you control gets +1/+1 until end of turn. Then those creatures fight each other. (Each deals damage equal to its power to the other.)",
Tainted Indulgence,missing,Easy,Instant,{U}{B},2.0,uncommon,snc,2022-04-29,,Draw two cards. Then discard a card unless there are five or more mana values among cards in your graveyard.,
Tainted Treats,missing,Easy,Instant,{1}{B}{G},3.0,uncommon,tmt,2026-03-06,Food,"Destroy target artifact or creature. If its mana value was 4 or less, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")",
Take the Bait,missing,Easy,Instant,{2}{R}{W},4.0,rare,mkc,2024-02-09,Goad,"Cast this spell only during combat on an opponent's turn.
Prevent all combat damage that would be dealt to you and planeswalkers you control this turn. Untap all attacking creatures and goad them. After this phase, there is an additional combat phase.",
Take the Fall,missing,Easy,Instant,{U},1.0,common,otj,2024-04-19,,"Target creature gets -1/-0 until end of turn. It gets -4/-0 until end of turn instead if you control an outlaw. (Assassins, Mercenaries, Pirates, Rogues, and Warlocks are outlaws.)
Draw a card.",
Tawnos Endures,missing,Easy,Instant,{W},1.0,uncommon,ybro,2022-12-13,,"Exile target creature. It gains ""At the beginning of your upkeep, if this card is exiled, it perpetually gets +1/+1, then you may put it onto the battlefield.""",
Tax Bolt,missing,Easy,Instant,{R},1.0,uncommon,unk,2023-07-29,,"Tax Bolt deals damage to any target equal to your highest commander tax among your commanders. (For example, if you've cast your one commander from your command zone twice, it deals 4 damage.)",
Tax Draw,missing,Easy,Instant,{3}{U},4.0,uncommon,unk,2023-07-29,,"Draw cards equal to your highest commander tax among your commanders. (For example, if you've cast your one commander from your command zone twice, draw four cards.)",
Team Perseverance,missing,Easy,Instant,{1}{B},2.0,uncommon,unk,2025-02-21,,"Team Cloudspire — Target creature gets +2/+0 and gains indestructible until end of turn. Draw a card.
Team Speed Demons — Return one or two target creature cards from your graveyard to your hand.",
Teferi's Contingency,missing,Easy,Instant,{W}{U}{U},3.0,rare,ydmu,2022-10-05,,"Counter target spell. Each card in its controller's graveyard, hand, and library with the same name as that spell perpetually gains ""This spell costs {2} more to cast.""",
Tenderize,missing,Easy,Instant,{1}{G},2.0,common,tmt,2026-03-06,,Target creature you control deals damage equal to its power to target creature an opponent controls.,
Tezzeret's Reckoning,missing,Easy,Instant,{1}{U},2.0,uncommon,yone,2023-02-28,,"Exile three random cards from your library face down and look at them. For as long as they remain exiled, you may play one of those cards.",
That's No Moonmist,missing,Easy,Instant,{1}{G},2.0,common,unk,2023-05-06,Transform,Transform all artifacts and Phyrexian creatures on their front face. Prevent all combat damage that would be dealt this turn by creatures other than Phyrexians. (Only double-faced cards and tokens can be transformed.),
The Grand Tour,missing,Easy,Instant,{1}{U},2.0,rare,cmb1,2019-11-07,,"Exile target permanent, then put it into its owner's hand. That player discards that card, then puts it on top of their library. Then they put it onto the battlefield.",
The Last Agni Kai,missing,Easy,Instant,{1}{R},2.0,rare,tla,2025-11-21,Fight,"Target creature you control fights target creature an opponent controls. If the creature the opponent controls is dealt excess damage this way, add that much {R}.
Until end of turn, you don't lose unspent red mana as steps and phases end.",
The Last Ronin's Technique,missing,Easy,Instant,{3}{W},4.0,uncommon,tmt,2026-03-06,Sneak,"Sneak {1}{W} (You may cast this spell for {1}{W} if you also return an unblocked attacker you control to hand during the declare blockers step.)
Create three 1/1 white Ninja Turtle Spirit creature tokens. If this spell's sneak cost was paid, they enter tapped and attacking.",
This Is How It Ends,missing,Easy,Instant,{3}{B},4.0,rare,who,2023-10-13,,"Target creature's owner shuffles it into their library, then faces a villainous choice — They lose 5 life, or they shuffle another creature they own into their library.",
This Town Ain't Big Enough,missing,Easy,Instant,{4}{U},5.0,uncommon,otj,2024-04-19,,"This spell costs {3} less to cast if it targets a permanent you control.
Return up to two target nonland permanents to their owners' hands.",
Three Tree Battalion,missing,Easy,Instant,{3}{W},4.0,rare,yblb,2024-08-20,Conjure,"Look at the top six cards of your library. You may put a creature card with mana value 3 or less from among them onto the battlefield, then conjure a duplicate of that card onto the battlefield. The duplicate perpetually has base power and toughness 1/1. Put the rest on the bottom of your library in a random order.",
Thunder Salvo,missing,Easy,Instant,{1}{R},2.0,common,otj,2024-04-19,,"Thunder Salvo deals X damage to target creature, where X is 2 plus the number of other spells you've cast this turn.",
Time Lord Regeneration,missing,Easy,Instant,{U},1.0,uncommon,who,2023-10-13,,"Until end of turn, target Time Lord you control gains ""When this creature dies, reveal cards from the top of your library until you reveal a Time Lord creature card. Put that card onto the battlefield and the rest on the bottom of your library in a random order.""",
Torch Breath,missing,Easy,Instant,{X}{R},1.0,uncommon,snc,2022-04-29,,"This spell costs {2} less to cast if it targets a blue permanent.
This spell can't be countered.
Torch Breath deals X damage to target creature or planeswalker.",
Transpose,missing,Easy,Instant,{2}{B},3.0,rare,fic,2025-06-13,Rebound,"Draw a card, then discard a card. You lose 1 life. If this spell was cast from your hand, create a 0/1 black Wizard creature token with ""Whenever you cast a noncreature spell, this token deals 1 damage to each opponent.""
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)",
Traumatic Critique,missing,Easy,Instant,{X}{U}{R},2.0,rare,sos,2026-04-24,,"Traumatic Critique deals X damage to any target. Draw two cards, then discard a card.",
Tribal Unity,missing,Easy,Instant,{X}{2}{G},3.0,uncommon,ons,2002-10-07,,Creatures of the creature type of your choice get +X/+X until end of turn.,
Turtles Forever,missing,Easy,Instant,{3}{W},4.0,rare,tmt,2026-03-06,,"Search your library and/or outside the game for exactly four legendary creature cards you own with different names, then reveal those cards. An opponent chooses two of them. Put the chosen cards into your hand and shuffle the rest into your library.",
Unagi's Spray,missing,Easy,Instant,{U},1.0,common,tle,2025-11-21,,"Target creature gets -4/-0 until end of turn. If you control a Fish, Octopus, Otter, Seal, Serpent, or Whale, draw a card.",
Uncharted Voyage,missing,Easy,Instant,{3}{U},4.0,common,fdn,2024-11-15,Surveil,"Target creature's owner puts it on their choice of the top or bottom of their library.
Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",
Undersimplify,missing,Easy,Instant,{1}{U},2.0,common,hbg,2022-07-07,,"Choose target spell. If it's a creature spell, it perpetually gets -2/-0. Counter that spell unless its controller pays {2}.",
Unlawful Entry,missing,Easy,Instant,{1}{U},2.0,common,unf,2022-10-07,,"Target creature gets +1/+0 and gains flying until end of turn.
Whenever you put an art sticker on a creature, you may return this card from your graveyard to your hand.",
Unleash the Inferno,missing,Easy,Instant,{1}{B}{R}{G},4.0,rare,snc,2022-04-29,,"Unleash the Inferno deals 7 damage to target creature or planeswalker. When it deals excess damage this way, destroy target artifact or enchantment an opponent controls with mana value less than or equal to that amount of excess damage.",
Unsubtle Mockery,missing,Easy,Instant,{2}{R},3.0,common,sos,2026-04-24,Surveil,Unsubtle Mockery deals 4 damage to target creature. Surveil 1. (Look at the top card of your library. You may put it into your graveyard.),
Urgent Necropsy,missing,Easy,Instant,{2}{B}{G},4.0,mythic,pmkm,2024-02-09,,"As an additional cost to cast this spell, collect evidence X, where X is the total mana value of the permanents this spell targets.
Destroy up to one target artifact, up to one target creature, up to one target enchantment, and up to one target planeswalker.",
V.A.T.S.,missing,Easy,Instant,{2}{B}{B},4.0,rare,pip,2024-03-08,Split second,"Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Choose any number of target creatures with equal toughness. Destroy the chosen creatures.",
Valiant Farewell,missing,Easy,Instant,{1}{W},2.0,common,hbg,2022-07-07,,"Target creature you control gets +2/+0 until end of turn. When that creature leaves the battlefield this turn, you get a boon with ""When you cast your next creature spell, it perpetually gets +2/+0.""
Draw a card.",
Vibrant Outburst,missing,Easy,Instant,{U}{R},2.0,uncommon,sos,2026-04-24,,Vibrant Outburst deals 3 damage to any target. Tap up to one target creature.,
Wander Off,missing,Easy,Instant,{3}{B},4.0,common,sos,2026-04-24,,Exile target creature.,
Welcome the Darkness,missing,Easy,Instant,{X}{B},1.0,mythic,ydsk,2024-10-15,,"X can't be 0.
Draw X cards. Create an X/X black Demon creature token with flying. Your life total becomes X. You can't gain life for the rest of the game.",
Whammy Burn,missing,Easy,Instant,{R},1.0,rare,cmb1,2019-11-07,,"Shuffle your whammy deck, then reveal cards from the top of your whammy deck until you reveal an Island or choose to stop. Then, if no Islands were revealed this way, Whammy Burn deals X damage to any target, where X is the number of cards revealed. (A whammy deck consists of a Plains, Island, Swamp, Mountain, and Forest.)",
Wisecrack,missing,Easy,Instant,{2}{R},3.0,uncommon,om1,2025-09-23,,"Target creature deals damage equal to its power to itself. If that creature is attacking, Wisecrack deals 2 damage to that creature's controller.",
Wormhole Warp,missing,Easy,Instant,{2}{R},3.0,rare,mb2,2024-08-02,,Exile target creature an opponent controls. That player reveals cards from their sideboard at random until they reveal a nonland card. They may cast that card without paying its mana cost.,
You're Toast!,missing,Easy,Instant,{2}{W},3.0,uncommon,unk,2025-06-20,,"Exile target nonland permanent. Its controller manifests bread. (They look at the top two cards of their library and put one into their graveyard and the other onto the battlefield face down as a Food artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."" It can't be turned face up. It's bread.)",
